target,layer,M_train,mean_gap_simple,mean_gap_attn,sel_change_N,sel_change_mean_delta,sel_change_sd_delta,sel_change_se_delta,sel_change_ci_lo_95,sel_change_ci_hi_95,sel_change_ci_method,sel_change_W,sel_change_p_sign_one_sided
C_star,0,1024,0.08408851265907287,0.007924509048461915,100,-0.07616400361061096,0.02139410688045946,0.0021394106880459457,-0.11772473454475403,-0.022984254360198995,empirical_2.5_97.5_percentile_of_members,1,1.0
C_star,1,1024,0.4459128427505493,0.7447451591491699,100,0.2988323163986206,0.16416034737867527,0.016416034737867527,0.0810401201248169,0.5145585358142852,empirical_2.5_97.5_percentile_of_members,99,7.967495142732219e-29
C_star,2,1024,1.5852740454673766,1.8714756226539613,100,0.28620157718658445,0.49091119186764876,0.04909111918676488,-0.39336411505937574,1.647832207381721,empirical_2.5_97.5_percentile_of_members,76,9.050013106514627e-08
C_star,3,1024,2.3143961596488953,2.150901966392994,100,-0.16349419325590134,0.6583044840181183,0.06583044840181182,-1.2351230293512345,1.8062487587332634,empirical_2.5_97.5_percentile_of_members,34,0.9995631400815438
C_star,4,1024,2.57010724067688,2.1083987875282766,100,-0.4617084531486034,0.743390459114097,0.07433904591140969,-1.404398826509714,1.4315629273652979,empirical_2.5_97.5_percentile_of_members,12,0.9999999999999999
C_star,5,1024,2.5919092404842377,1.996605319827795,100,-0.5953039206564427,0.6255090019253655,0.06255090019253655,-1.450165305286646,1.2886432297527775,empirical_2.5_97.5_percentile_of_members,10,1.0
C_star,6,1024,2.5367816907167433,1.8518613342940808,100,-0.6849203564226627,0.5957263205813486,0.05957263205813486,-1.4874963589012622,1.0176789529621568,empirical_2.5_97.5_percentile_of_members,5,1.0
C_star,7,1024,2.4659975028038024,1.7656681244075298,100,-0.7003293783962726,0.647900285257229,0.0647900285257229,-1.4661895167082548,1.3243889264762352,empirical_2.5_97.5_percentile_of_members,10,1.0
C_star,8,1024,1.5802737116813659,1.2941520336270331,100,-0.28612167805433275,0.7002733424232473,0.07002733424232474,-1.2791464641690253,1.5137932777404774,empirical_2.5_97.5_percentile_of_members,32,0.9999084283875588
loglik_true_params_raw_mse,0,1024,2378.1575,13309.2803125,100,10931.1228125,4610.252736720773,461.02527367207733,2793.83623046875,21056.795996093748,empirical_2.5_97.5_percentile_of_members,100,7.888609052210118e-31
loglik_true_params_raw_mse,1,1024,-16196.7103125,56309.08541015625,100,72505.79572265624,17897.19155958383,1789.719155958383,48504.7650390625,110059.52778320307,empirical_2.5_97.5_percentile_of_members,100,7.888609052210118e-31
loglik_true_params_raw_mse,2,1024,-37360.241328125,71296.229296875,100,108656.470625,15765.094932134618,1576.5094932134618,80737.32182617187,143889.1426269531,empirical_2.5_97.5_percentile_of_members,100,7.888609052210118e-31
loglik_true_params_raw_mse,3,1024,-30407.098125,75655.26758789063,100,106062.36571289062,14750.732787292323,1475.0732787292322,82678.64807128906,134676.74851074218,empirical_2.5_97.5_percentile_of_members,100,7.888609052210118e-31
loglik_true_params_raw_mse,4,1024,-12752.79203125,76700.99766113282,100,89453.78969238281,13058.093929698281,1305.8093929698282,68345.31848144531,120732.41320800781,empirical_2.5_97.5_percentile_of_members,100,7.888609052210118e-31
loglik_true_params_raw_mse,5,1024,1435.870546875,77397.97865722656,100,75962.10811035156,10936.812131639726,1093.6812131639726,57881.32822265625,95345.6609375,empirical_2.5_97.5_percentile_of_members,100,7.888609052210118e-31
loglik_true_params_raw_mse,6,1024,9701.418125,77388.08149414063,100,67686.66336914063,7989.17263792674,798.917263792674,53008.40762939453,81030.26313476563,empirical_2.5_97.5_percentile_of_members,100,7.888609052210118e-31
loglik_true_params_raw_mse,7,1024,13799.20109375,77176.5546484375,100,63377.3535546875,5925.403709263306,592.5403709263306,51870.83189697265,73419.0380493164,empirical_2.5_97.5_percentile_of_members,100,7.888609052210118e-31
loglik_true_params_raw_mse,8,1024,5515.0128125,76410.6634399414,100,70895.65062744141,5074.350933392642,507.4350933392642,63313.37504882812,81773.80439453125,empirical_2.5_97.5_percentile_of_members,100,7.888609052210118e-31
sigma_mle_sqrt,0,1024,0.002354135513305664,-9.309232234954834e-05,100,-0.0024472278356552123,0.0034005372415864686,0.0003400537241586469,-0.009898468852043152,0.0026873618364334053,empirical_2.5_97.5_percentile_of_members,10,1.0
sigma_mle_sqrt,1,1024,0.052183507084846495,0.1404224506020546,100,0.0882389435172081,0.031213746465515977,0.0031213746465515975,0.035780346393585204,0.12427588999271393,empirical_2.5_97.5_percentile_of_members,98,3.9845364322713306e-27
sigma_mle_sqrt,2,1024,0.18833198070526122,0.33488013714551923,100,0.14654815644025804,0.06752043186869176,0.0067520431868691765,-0.022492242231965064,0.26910061053931705,empirical_2.5_97.5_percentile_of_members,95,6.26162256269268e-23
sigma_mle_sqrt,3,1024,0.32221678271889687,0.37408262729644776,100,0.05186584457755089,0.09380228326540788,0.009380228326540788,-0.1385262582451105,0.18875820180401198,empirical_2.5_97.5_percentile_of_members,75,2.818141017102701e-07
