target,layer,M_train,N,mean_delta,sd_delta,se_delta,ci_lo_95,ci_hi_95,ci_method,W,p_sign_one_sided,mean_test_true,mean_test_perm_glob
C_star,0,1024,100,0.08408851265907287,0.017871218813669175,0.0017871218813669174,0.034614697098731995,0.1126009464263916,empirical_2.5_97.5_percentile_of_members,99,7.967495142732219e-29,4.2400961065292355,4.324184619188308
C_star,1,1024,100,0.4459128427505493,0.14099724507849418,0.014099724507849418,0.1644003212451935,0.6922736823558804,empirical_2.5_97.5_percentile_of_members,98,3.9845364322713306e-27,3.781228266954422,4.227141109704971
C_star,2,1024,100,1.5852740454673766,0.45076512056336676,0.04507651205633668,0.08046664297580719,2.1144855797290796,empirical_2.5_97.5_percentile_of_members,98,3.9845364322713306e-27,2.535240248441696,4.120514293909073
C_star,3,1024,100,2.3143961596488953,0.5294740226764165,0.05294740226764165,0.24751011431217196,2.7907669335603713,empirical_2.5_97.5_percentile_of_members,98,3.9845364322713306e-27,1.7101869773864746,4.0245831370353695
C_star,4,1024,100,2.57010724067688,0.6583821962370962,0.06583821962370962,0.050358694791793834,2.987009978294372,empirical_2.5_97.5_percentile_of_members,97,1.3154334480650894e-25,1.3850856077671052,3.955192848443985
C_star,5,1024,100,2.5919092404842377,0.5585093101531964,0.05585093101531964,0.2711998611688614,2.9809454560279844,empirical_2.5_97.5_percentile_of_members,98,3.9845364322713306e-27,1.3111728739738464,3.9030821144580843
C_star,6,1024,100,2.5367816907167433,0.5568176387859701,0.05568176387859701,0.2605639159679413,3.0393536165356636,empirical_2.5_97.5_percentile_of_members,98,3.9845364322713306e-27,1.3339343255758285,3.870716016292572
C_star,7,1024,100,2.4659975028038024,0.5938550676763946,0.059385506767639464,-0.1206906884908676,2.9965145424008366,empirical_2.5_97.5_percentile_of_members,96,3.224844447881771e-24,1.3460329389572143,3.8120304417610167
C_star,8,1024,100,1.5802737116813659,0.6591987315238388,0.06591987315238387,-0.36657696068286894,2.4366844475269316,empirical_2.5_97.5_percentile_of_members,96,3.224844447881771e-24,2.2230496311187746,3.8033233428001405
loglik_true_params_raw_mse,0,1024,100,2378.1575,327.6261578746511,32.76261578746511,1821.81328125,2999.6359374999997,empirical_2.5_97.5_percentile_of_members,100,7.888609052210118e-31,314250.6403125,316628.7978125
loglik_true_params_raw_mse,1,1024,100,-16196.7103125,14576.980227978866,1457.6980227978866,-45192.59296875,3677.0031249999997,empirical_2.5_97.5_percentile_of_members,6,1.0,224195.3790625,207998.66875
loglik_true_params_raw_mse,2,1024,100,-37360.241328125,14563.031739069853,1456.3031739069852,-68110.051953125,-11765.56093750005,empirical_2.5_97.5_percentile_of_members,0,1.0,183824.286875,146464.045546875
loglik_true_params_raw_mse,3,1024,100,-30407.098125,14565.107149674168,1456.5107149674168,-57489.6947265625,-5137.744140625014,empirical_2.5_97.5_percentile_of_members,1,1.0,152747.132890625,122340.034765625
loglik_true_params_raw_mse,4,1024,100,-12752.79203125,12919.385050756206,1291.9385050756205,-42992.4,9360.466796874998,empirical_2.5_97.5_percentile_of_members,16,0.9999999999997587,125366.111171875,112613.319140625
loglik_true_params_raw_mse,5,1024,100,1435.870546875,10719.063199295962,1071.9063199295963,-21500.322265625,16056.302734374996,empirical_2.5_97.5_percentile_of_members,60,0.028443966820490392,107178.511640625,108614.3821875
loglik_true_params_raw_mse,6,1024,100,9701.418125,7140.939333430242,714.0939333430242,-2597.1048828125,23571.587499999994,empirical_2.5_97.5_percentile_of_members,90,1.5316450877189923e-17,96618.888125,106320.30625
loglik_true_params_raw_mse,7,1024,100,13799.20109375,4967.988310138151,496.7988310138151,4391.0119140625,22493.3595703125,empirical_2.5_97.5_percentile_of_members,100,7.888609052210118e-31,90862.569609375,104661.770703125
loglik_true_params_raw_mse,8,1024,100,5515.0128125,3988.1345348813347,398.81345348813346,-1885.6220703125,13538.48847656249,empirical_2.5_97.5_percentile_of_members,91,1.6610244897268262e-18,97868.67359375,103383.68640625
sigma_mle_sqrt,0,1024,100,0.002354135513305664,0.002809813047025198,0.0002809813047025198,-0.00012616366147994993,0.00650060623884199,empirical_2.5_97.5_percentile_of_members,97,1.3154334480650894e-25,0.5937469232082367,0.5961010587215424
sigma_mle_sqrt,1,1024,100,0.052183507084846495,0.027624914491112547,0.002762491449111255,0.02442094832658768,0.07786526829004285,empirical_2.5_97.5_percentile_of_members,99,7.967495142732219e-29,0.5422654604911804,0.5944489675760269
sigma_mle_sqrt,2,1024,100,0.18833198070526122,0.05032601613762234,0.005032601613762234,0.09083348885178566,0.2805227272212505,empirical_2.5_97.5_percentile_of_members,100,7.888609052210118e-31,0.39646471560001373,0.584796696305275
sigma_mle_sqrt,3,1024,100,0.32221678271889687,0.04681704778292889,0.0046817047782928885,0.2138470344245434,0.3912514705210924,empirical_2.5_97.5_percentile_of_members,100,7.888609052210118e-31,0.2527931772172451,0.575009959936142
sigma_mle_sqrt,4,1024,100,0.3911836091428995,0.032478330148731326,0.0032478330148731326,0.3211606785655022,0.44996276348829267,empirical_2.5_97.5_percentile_of_members,100,7.888609052210118e-31,0.17050085835158824,0.5616844674944877
sigma_mle_sqrt,5,1024,100,0.4117454095184803,0.03320113994186605,0.003320113994186605,0.3522061415016651,0.4669184748083352,empirical_2.5_97.5_percentile_of_members,100,7.888609052210118e-31,0.14171865537762643,0.5534640648961067
sigma_mle_sqrt,6,1024,100,0.40421808667480946,0.035934345157190364,0.0035934345157190364,0.33811501748859885,0.4641311720013618,empirical_2.5_97.5_percentile_of_members,100,7.888609052210118e-31,0.13630875818431376,0.5405268448591233
sigma_mle_sqrt,7,1024,100,0.397454587072134,0.04332298861213364,0.0043322988612133646,0.32027480825781823,0.4847745213657617,empirical_2.5_97.5_percentile_of_members,100,7.888609052210118e-31,0.1359043188393116,0.5333589059114456
sigma_mle_sqrt,8,1024,100,0.2726205712556839,0.0831832978613405,0.00831832978613405,0.1624561496078968,0.3779162481427192,empirical_2.5_97.5_percentile_of_members,99,7.967495142732219e-29,0.2608327236771584,0.5334532949328422
