target,layer,M_train,N,mean_delta,sd_delta,se_delta,ci_lo_95,ci_hi_95,ci_method,W,p_sign_one_sided,mean_test_true,mean_test_perm_glob
C_star,0,1024,100,0.007924509048461915,0.011765897087816305,0.0011765897087816306,-0.009699088335037232,0.02503777742385863,empirical_2.5_97.5_percentile_of_members,86,4.1422259360400374e-14,3.156070518493652,3.1639950275421143
C_star,1,1024,100,0.7447451591491699,0.13688771041082626,0.013688771041082626,0.5363589942455291,0.9480028390884399,empirical_2.5_97.5_percentile_of_members,99,7.967495142732219e-29,2.3841449856758117,3.1288901448249815
C_star,2,1024,100,1.8714756226539613,0.29283924434551695,0.029283924434551696,1.1196201205253602,2.2545626565814016,empirical_2.5_97.5_percentile_of_members,100,7.888609052210118e-31,1.0751917362213135,2.9466673588752745
C_star,3,1024,100,2.150901966392994,0.4114497829221394,0.04114497829221394,1.2453378573060037,2.6838429644703865,empirical_2.5_97.5_percentile_of_members,100,7.888609052210118e-31,0.5108003470301629,2.6617023134231568
C_star,4,1024,100,2.1083987875282766,0.478084776355273,0.0478084776355273,1.1355808667838574,2.815544866025447,empirical_2.5_97.5_percentile_of_members,100,7.888609052210118e-31,0.3132156030833721,2.4216143906116487
C_star,5,1024,100,1.996605319827795,0.46224024325399893,0.04622402432539989,1.143386285007,2.8475291531532987,empirical_2.5_97.5_percentile_of_members,100,7.888609052210118e-31,0.2563139559328556,2.2529192757606507
C_star,6,1024,100,1.8518613342940808,0.4367130185595343,0.04367130185595343,0.9905479528009892,2.6041770264506328,empirical_2.5_97.5_percentile_of_members,100,7.888609052210118e-31,0.26035427883267404,2.1122156131267547
C_star,7,1024,100,1.7656681244075298,0.4109179212753839,0.04109179212753839,1.015684998035431,2.5701982598751782,empirical_2.5_97.5_percentile_of_members,100,7.888609052210118e-31,0.29782547667622566,2.0634936010837555
C_star,8,1024,100,1.2941520336270331,0.3821664383599366,0.03821664383599366,0.5484563320875168,1.9982949540019026,empirical_2.5_97.5_percentile_of_members,100,7.888609052210118e-31,0.7522431156039238,2.046395149230957
loglik_true_params_raw_mse,0,1024,100,13309.2803125,4570.157832781425,457.0157832781425,5092.96455078125,23596.23212890625,empirical_2.5_97.5_percentile_of_members,100,7.888609052210118e-31,45738.4148828125,59047.6951953125
loglik_true_params_raw_mse,1,1024,100,56309.08541015625,7505.096354094058,750.5096354094059,43598.68305664063,69831.25673828124,empirical_2.5_97.5_percentile_of_members,100,7.888609052210118e-31,22658.99326171875,78968.078671875
loglik_true_params_raw_mse,2,1024,100,71296.229296875,6012.738064414331,601.2738064414332,59015.631127929686,81222.46103515624,empirical_2.5_97.5_percentile_of_members,100,7.888609052210118e-31,16819.03171875,88115.261015625
loglik_true_params_raw_mse,3,1024,100,75655.26758789063,6091.014685020239,609.1014685020239,63365.94477539063,85248.93210449218,empirical_2.5_97.5_percentile_of_members,100,7.888609052210118e-31,11328.320224609375,86983.5878125
loglik_true_params_raw_mse,4,1024,100,76700.99766113282,4816.913473414451,481.69134734144507,67000.9274658203,84769.95194091796,empirical_2.5_97.5_percentile_of_members,100,7.888609052210118e-31,8849.809213867187,85550.806875
loglik_true_params_raw_mse,5,1024,100,77397.97865722656,4455.502129675745,445.5502129675745,68823.5310546875,85492.70906982422,empirical_2.5_97.5_percentile_of_members,100,7.888609052210118e-31,7793.940483398437,85191.919140625
loglik_true_params_raw_mse,6,1024,100,77388.08149414063,4421.153513352375,442.1153513352375,67814.9271484375,84571.41511230469,empirical_2.5_97.5_percentile_of_members,100,7.888609052210118e-31,7509.929443359375,84898.0109375
loglik_true_params_raw_mse,7,1024,100,77176.5546484375,3973.108769814069,397.3108769814069,69282.62717285156,83432.4868774414,empirical_2.5_97.5_percentile_of_members,100,7.888609052210118e-31,7582.3355078125,84758.89015625
loglik_true_params_raw_mse,8,1024,100,76410.6634399414,3676.8022196973607,367.68022196973607,69096.63442382813,82326.77010498046,empirical_2.5_97.5_percentile_of_members,100,7.888609052210118e-31,8357.236716308595,84767.90015625
sigma_mle_sqrt,0,1024,100,-9.309232234954834e-05,0.001826018127908637,0.0001826018127908637,-0.0028358399868011475,0.002603417634963987,empirical_2.5_97.5_percentile_of_members,44,0.9033260477521786,0.5802498787641526,0.580156786441803
sigma_mle_sqrt,1,1024,100,0.1404224506020546,0.027551513755820937,0.0027551513755820936,0.08196639269590378,0.18094867765903466,empirical_2.5_97.5_percentile_of_members,100,7.888609052210118e-31,0.42692409932613373,0.5673465499281883
sigma_mle_sqrt,2,1024,100,0.33488013714551923,0.06527268696471876,0.006527268696471876,0.15781724452972412,0.41165826618671414,empirical_2.5_97.5_percentile_of_members,100,7.888609052210118e-31,0.18177570194005965,0.5166558390855789
sigma_mle_sqrt,3,1024,100,0.37408262729644776,0.09751537887029807,0.009751537887029807,0.1958882249891758,0.5037207579240203,empirical_2.5_97.5_percentile_of_members,100,7.888609052210118e-31,0.06555422663688659,0.43963685393333435
sigma_mle_sqrt,4,1024,100,0.3462721441872418,0.10084429935458461,0.010084429935458461,0.16198082314804196,0.5020096422173081,empirical_2.5_97.5_percentile_of_members,100,7.888609052210118e-31,0.0300136929564178,0.3762858371436596
sigma_mle_sqrt,5,1024,100,0.31760393080301585,0.09745591567949938,0.009745591567949938,0.16900319433771074,0.5067198100965468,empirical_2.5_97.5_percentile_of_members,100,7.888609052210118e-31,0.019201882956549524,0.33680581375956536
sigma_mle_sqrt,6,1024,100,0.2951666962727904,0.0860329758907554,0.00860329758907554,0.1684980910271406,0.4590378941269589,empirical_2.5_97.5_percentile_of_members,100,7.888609052210118e-31,0.01651102874428034,0.31167772501707075
sigma_mle_sqrt,7,1024,100,0.2740691081434488,0.07610714796666637,0.007610714796666637,0.14226373662240804,0.40408674147911366,empirical_2.5_97.5_percentile_of_members,100,7.888609052210118e-31,0.02003657601773739,0.2941056841611862
sigma_mle_sqrt,8,1024,100,0.22145269457250832,0.07695995700063864,0.007695995700063863,0.07757760733366012,0.37304681856185196,empirical_2.5_97.5_percentile_of_members,100,7.888609052210118e-31,0.0797579638287425,0.30121065840125083
