target,layer,M_train,N,mean_delta,sd_delta,se_delta,ci_lo_95,ci_hi_95,ci_method,W,p_sign_one_sided,mean_test_true,mean_test_init
C_star,0,1024,100,0.008975403308868408,0.012677501134378861,0.001267750113437886,-0.01301524043083191,0.03130567669868467,empirical_2.5_97.5_percentile_of_members,86,4.1422259360400374e-14,3.156070518493652,3.1650459218025206
C_star,1,1024,100,0.7756176328659058,0.10997205704690292,0.010997205704690292,0.5618009030818939,0.9747496247291564,empirical_2.5_97.5_percentile_of_members,100,7.888609052210118e-31,2.3841449856758117,3.1597626185417176
C_star,2,1024,100,2.0764403772354125,0.18774482439704812,0.018774482439704813,1.626195752620697,2.3323602646589277,empirical_2.5_97.5_percentile_of_members,100,7.888609052210118e-31,1.0751917362213135,3.151632113456726
C_star,3,1024,100,2.640437717735767,0.1060591766696158,0.01060591766696158,2.4307961091399193,2.822329546511173,empirical_2.5_97.5_percentile_of_members,100,7.888609052210118e-31,0.5108003470301629,3.15123806476593
C_star,4,1024,100,2.816726604253054,0.06792235854572504,0.006792235854572504,2.692649595439434,2.9340250968933104,empirical_2.5_97.5_percentile_of_members,100,7.888609052210118e-31,0.3132156030833721,3.1299422073364256
C_star,5,1024,100,2.8694131921231745,0.06981140635103117,0.006981140635103117,2.7246657900512217,2.97185197211802,empirical_2.5_97.5_percentile_of_members,100,7.888609052210118e-31,0.2563139559328556,3.1257271480560305
C_star,6,1024,100,2.8527876321971415,0.07030159690531713,0.007030159690531714,2.706427976489067,2.975156925991177,empirical_2.5_97.5_percentile_of_members,100,7.888609052210118e-31,0.26035427883267404,3.1131419110298157
C_star,7,1024,100,2.8050534419715403,0.08309153100024644,0.008309153100024644,2.6518281809985638,2.9299800511449576,empirical_2.5_97.5_percentile_of_members,100,7.888609052210118e-31,0.29782547667622566,3.1028789186477663
C_star,8,1024,100,2.3364080932736395,0.1496285039796367,0.01496285039796367,2.053275592625141,2.633005486428737,empirical_2.5_97.5_percentile_of_members,100,7.888609052210118e-31,0.7522431156039238,3.0886512088775633
loglik_true_params_raw_mse,0,1024,100,13383.951640625,4563.583466185019,456.35834661850186,5034.82265625,23512.35888671875,empirical_2.5_97.5_percentile_of_members,100,7.888609052210118e-31,45738.4148828125,59122.3665234375
loglik_true_params_raw_mse,1,1024,100,34862.08037109375,5572.203918992249,557.2203918992249,24144.589208984376,45182.34501953125,empirical_2.5_97.5_percentile_of_members,100,7.888609052210118e-31,22658.99326171875,57521.0736328125
loglik_true_params_raw_mse,2,1024,100,39587.4101171875,6891.357539521652,689.1357539521653,25465.12333984375,52829.24140624999,empirical_2.5_97.5_percentile_of_members,100,7.888609052210118e-31,16819.03171875,56406.4418359375
loglik_true_params_raw_mse,3,1024,100,44044.274697265624,7532.462257265451,753.246225726545,28681.83916015625,58718.702734374994,empirical_2.5_97.5_percentile_of_members,100,7.888609052210118e-31,11328.320224609375,55372.594921875
loglik_true_params_raw_mse,4,1024,100,45243.62555175781,6865.852347746093,686.5852347746093,31775.750927734374,59881.79074707031,empirical_2.5_97.5_percentile_of_members,100,7.888609052210118e-31,8849.809213867187,54093.434765625
loglik_true_params_raw_mse,5,1024,100,44792.35447753906,6173.456624652919,617.345662465292,32456.357836914063,57886.832006835924,empirical_2.5_97.5_percentile_of_members,100,7.888609052210118e-31,7793.940483398437,52586.2949609375
loglik_true_params_raw_mse,6,1024,100,43876.92250976562,6105.617846698419,610.5617846698419,32557.3177734375,57347.15793457031,empirical_2.5_97.5_percentile_of_members,100,7.888609052210118e-31,7509.929443359375,51386.851953125
loglik_true_params_raw_mse,7,1024,100,43124.01828125,5921.719223677155,592.1719223677155,32996.62778320313,58143.934289550765,empirical_2.5_97.5_percentile_of_members,100,7.888609052210118e-31,7582.3355078125,50706.3537890625
loglik_true_params_raw_mse,8,1024,100,41481.4216040039,6254.409503140909,625.4409503140909,31334.78134765625,54163.28159179688,empirical_2.5_97.5_percentile_of_members,100,7.888609052210118e-31,8357.236716308595,49838.6583203125
sigma_mle_sqrt,0,1024,100,0.00010451555252075195,0.0019308273397803967,0.00019308273397803966,-0.003150750696659088,0.004634824395179746,empirical_2.5_97.5_percentile_of_members,51,0.46020538130641053,0.5802498787641526,0.5803543943166732
sigma_mle_sqrt,1,1024,100,0.15193367183208464,0.02004070044329573,0.002004070044329573,0.11039264276623725,0.19057609289884567,empirical_2.5_97.5_percentile_of_members,100,7.888609052210118e-31,0.42692409932613373,0.5788577711582183
sigma_mle_sqrt,2,1024,100,0.39472553223371504,0.03591652982323404,0.003591652982323404,0.28771022483706477,0.44239822886884206,empirical_2.5_97.5_percentile_of_members,100,7.888609052210118e-31,0.18177570194005965,0.5765012341737747
sigma_mle_sqrt,3,1024,100,0.5094996976852417,0.01868285171495323,0.0018682851714953228,0.471735829859972,0.539535362366587,empirical_2.5_97.5_percentile_of_members,100,7.888609052210118e-31,0.06555422663688659,0.5750539243221283
sigma_mle_sqrt,4,1024,100,0.5421726745553315,0.011057198318334368,0.0011057198318334368,0.5190304986201226,0.5592912150546908,empirical_2.5_97.5_percentile_of_members,100,7.888609052210118e-31,0.0300136929564178,0.5721863675117492
sigma_mle_sqrt,5,1024,100,0.5501176519412547,0.008655916469231422,0.0008655916469231422,0.5334615275729447,0.5655566491885111,empirical_2.5_97.5_percentile_of_members,100,7.888609052210118e-31,0.019201882956549524,0.5693195348978043
sigma_mle_sqrt,6,1024,100,0.5499984797462821,0.009436576935983033,0.0009436576935983032,0.5293967574136331,0.5654925285140052,empirical_2.5_97.5_percentile_of_members,100,7.888609052210118e-31,0.01651102874428034,0.5665095084905625
sigma_mle_sqrt,7,1024,100,0.5423235891014337,0.011667866161944025,0.0011667866161944025,0.5125067926477641,0.5598538174293934,empirical_2.5_97.5_percentile_of_members,100,7.888609052210118e-31,0.02003657601773739,0.5623601651191712
sigma_mle_sqrt,8,1024,100,0.47843539316207173,0.02123122282919897,0.002123122282919897,0.43760298658162355,0.518858943041414,empirical_2.5_97.5_percentile_of_members,100,7.888609052210118e-31,0.0797579638287425,0.5581933569908142
